sample	coverage	taxonomy	lowest_rank	genome_size	estimated_bp	estimated_mbp	estimated_gbp
Simulated_Zymo_Spiked_1	0.1	Root; d__Archaea	Archaea	1888983.3779178064	188898.33779178065	0.18889833779178064	1.8889833779178064e-4
Simulated_Zymo_Spiked_1	0.85	Root; d__Bacteria	Bacteria	3403802.674777494	2893232.2735608695	2.8932322735608693	0.0028932322735608696
Simulated_Zymo_Spiked_1	0.11	Root; d__Bacteria; p__Proteobacteria	Proteobacteria	3498809.2910978207	384869.0220207603	0.3848690220207603	3.848690220207603e-4
Simulated_Zymo_Spiked_1	1.25	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	Gammaproteobacteria	3506957.0063654007	4383696.257956751	4.383696257956751	0.004383696257956751
Simulated_Zymo_Spiked_1	3.98	Root; d__Bacteria; p__Firmicutes; c__Bacilli	Bacilli	2781834.5259574726	11071701.41331074	11.07170141331074	0.01107170141331074
Simulated_Zymo_Spiked_1	0.17	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales	Pseudomonadales	3891549.0455091153	661563.3377365497	0.6615633377365496	6.615633377365497e-4
Simulated_Zymo_Spiked_1	2.56	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales	Enterobacterales	3695267.5093859136	9459884.824027939	9.459884824027938	0.00945988482402794
Simulated_Zymo_Spiked_1	1.56	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	Lactobacillales	2275310.516142952	3549484.405183005	3.549484405183005	0.003549484405183005
Simulated_Zymo_Spiked_1	0.17	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales	Staphylococcales	2098194.8406355064	356693.1229080361	0.3566931229080361	3.566931229080361e-4
Simulated_Zymo_Spiked_1	2.56	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae	Pseudomonadaceae	4317286.487488474	11052253.407970494	11.052253407970493	0.011052253407970494
