sample	coverage	taxonomy
Simulated_Zymo_1	1.02	Root; d__Archaea
Simulated_Zymo_1	0.9	Root; d__Bacteria
Simulated_Zymo_1	0.29	Root; d__Archaea; p__Halobacteriota
Simulated_Zymo_1	0.99	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
Simulated_Zymo_1	3.91	Root; d__Bacteria; p__Firmicutes; c__Bacilli
Simulated_Zymo_1	0.42	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetes
Simulated_Zymo_1	0.19	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
Simulated_Zymo_1	2.45	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales
Simulated_Zymo_1	1.41	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
Simulated_Zymo_1	0.14	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales
Simulated_Zymo_1	2.12	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae
Simulated_Zymo_1	12.59	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
Simulated_Zymo_1	4.15	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
Simulated_Zymo_1	2.45	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Listeriaceae
Simulated_Zymo_1	1.08	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae
Simulated_Zymo_1	0.24	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae
Simulated_Zymo_1	0.25	Root; d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus_C
Simulated_Zymo_1	2.64	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
Simulated_Zymo_1	1.08	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia
Simulated_Zymo_1	0.52	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella
Simulated_Zymo_1	18.18	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Limosilactobacillus
Simulated_Zymo_1	1.18	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus
Simulated_Zymo_1	0.09	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_C
Simulated_Zymo_1	9.33	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Listeriaceae; g__Listeria
Simulated_Zymo_1	10.32	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus
Simulated_Zymo_1	6.5	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
Simulated_Zymo_1	0.29	Root; d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__Syntropharchaeales; f__Syntropharchaeaceae; g__Syntropharchaeum; s__Syntropharchaeum butanivorans
Simulated_Zymo_1	0.5	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Caldarchaeales; f__NZ13-MGT; g__EX4484-121; s__EX4484-121 sp003660635
Simulated_Zymo_1	0.53	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Thermofilales; f__Thermofilaceae; g__DRZQ01; s__DRZQ01 sp011369665
Simulated_Zymo_1	0.09	Root; d__Archaea; p__EX4484-52; c__EX4484-52; o__EX4484-52; f__EX4484-52; g__EX4484-52; s__EX4484-52 sp003660905
Simulated_Zymo_1	0.27	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Parvarchaeales; f__Parvarchaeaceae; g__Parvarchaeum; s__Parvarchaeum acidiphilum
Simulated_Zymo_1	0.38	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas aeruginosa
Simulated_Zymo_1	0.61	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__Salmonella enterica
Simulated_Zymo_1	2.92	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Limosilactobacillus; s__Limosilactobacillus fermentum
Simulated_Zymo_1	0.71	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Limosilactobacillus; s__Limosilactobacillus gastricus
Simulated_Zymo_1	0.42	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Secundilactobacillus; s__Secundilactobacillus paracollinoides
Simulated_Zymo_1	7.7	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus; s__Enterococcus faecalis
Simulated_Zymo_1	0.57	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Listeriaceae; g__Listeria; s__Listeria monocytogenes_B
Simulated_Zymo_1	3.16	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus; s__Staphylococcus aureus
Simulated_Zymo_1	0.09	Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__DTKB01; f__DTKB01; g__DTKB01; s__DTKB01 sp011333655
Simulated_Zymo_1	0.33	Root; d__Bacteria; p__Bdellovibrionota; c__Bacteriovoracia; o__Bacteriovoracales; f__Bacteriovoracaceae; g__SMWT01; s__SMWT01 sp004356615
