sample	coverage	taxonomy
Simulated_Zymo_1	1.02	Root; d__Archaea
Simulated_Zymo_1	0.9	Root; d__Bacteria
Simulated_Zymo_1	0.29	Root; d__Archaea; p__Halobacteriota
Simulated_Zymo_1	0.99	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
Simulated_Zymo_1	3.91	Root; d__Bacteria; p__Firmicutes; c__Bacilli
Simulated_Zymo_1	0.42	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetes
Simulated_Zymo_1	0.19	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
Simulated_Zymo_1	2.45	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales
Simulated_Zymo_1	1.41	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
Simulated_Zymo_1	0.14	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales
Simulated_Zymo_1	2.12	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae
Simulated_Zymo_1	12.59	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
Simulated_Zymo_1	4.15	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
Simulated_Zymo_1	2.45	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Listeriaceae
Simulated_Zymo_1	1.08	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae
Simulated_Zymo_1	0.24	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae
Simulated_Zymo_1	0.05	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae
Simulated_Zymo_1	0.25	Root; d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae; g__Archaeoglobus_C
Simulated_Zymo_1	2.64	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
Simulated_Zymo_1	1.08	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia
Simulated_Zymo_1	0.52	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella
Simulated_Zymo_1	0.05	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas
Simulated_Zymo_1	0.05	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__HIMB59; f__GCA-002718135; g__AG-337-I02
Simulated_Zymo_1	18.18	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Limosilactobacillus
Simulated_Zymo_1	1.18	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus
Simulated_Zymo_1	0.09	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_C
Simulated_Zymo_1	9.33	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Listeriaceae; g__Listeria
Simulated_Zymo_1	0.05	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Listeriaceae; g__Listeria_A
Simulated_Zymo_1	10.32	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus
Simulated_Zymo_1	6.5	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus
Simulated_Zymo_1	0.05	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__F082; g__F082
Simulated_Zymo_1	0.05	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Planctomycetales; f__CA54; g__CA54
Simulated_Zymo_1	0.04	Root; d__Archaea; p__Methanobacteriota; c__Thermococci; o__Thermococcales; f__Thermococcaceae; g__Thermococcus; s__Thermococcus celer
Simulated_Zymo_1	0.04	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanoperedenaceae; g__Methanoperedens_A; s__Methanoperedens_A sp002839545
Simulated_Zymo_1	0.29	Root; d__Archaea; p__Halobacteriota; c__Syntropharchaeia; o__Syntropharchaeales; f__Syntropharchaeaceae; g__Syntropharchaeum; s__Syntropharchaeum butanivorans
Simulated_Zymo_1	0.04	Root; d__Archaea; p__Thermoplasmatota; c__EX4484-6; o__EX4484-6; f__EX4484-36; g__EX4484-36; s__EX4484-36 sp002254765
Simulated_Zymo_1	0.04	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__40CM-2-53-6; f__FEN-987; g__FEN-987; s__FEN-987 sp003152955
Simulated_Zymo_1	0.04	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__40CM-2-53-6; f__DTGE01; g__DTGE01; s__DTGE01 sp011389385
Simulated_Zymo_1	0.5	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Caldarchaeales; f__NZ13-MGT; g__EX4484-121; s__EX4484-121 sp003660635
Simulated_Zymo_1	0.53	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Thermofilales; f__Thermofilaceae; g__DRZQ01; s__DRZQ01 sp011369665
Simulated_Zymo_1	0.04	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Thermofilales; f__Thermofilaceae; g__B17-G15; s__B17-G15 sp003649495
Simulated_Zymo_1	0.04	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia; o__CG10238-14; f__SCSR01; g__SpSt-734; s__SpSt-734 sp011363135
Simulated_Zymo_1	0.04	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__DTNL01; f__DTNL01; g__CAISET01; s__CAISET01 sp903884505
Simulated_Zymo_1	0.09	Root; d__Archaea; p__EX4484-52; c__EX4484-52; o__EX4484-52; f__EX4484-52; g__EX4484-52; s__EX4484-52 sp003660905
Simulated_Zymo_1	0.27	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Parvarchaeales; f__Parvarchaeaceae; g__Parvarchaeum; s__Parvarchaeum acidiphilum
Simulated_Zymo_1	0.38	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__Pseudomonas aeruginosa
Simulated_Zymo_1	0.05	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas_K; s__Pseudomonas_K oryzae
Simulated_Zymo_1	0.61	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Salmonella; s__Salmonella enterica
Simulated_Zymo_1	0.05	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiomicrospirales; f__Thiomicrospiraceae; g__GCA-002282575; s__GCA-002282575 sp002281095
Simulated_Zymo_1	2.92	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Limosilactobacillus; s__Limosilactobacillus fermentum
