#mpa_vJan21_CHOCOPhlAnSGB_202103
#/home/projects/ku-cbd/people/rapeis/0_Software/miniconda3/bin/metaphlan Simulated_Zymo_R1.fastq.gz,Simulated_Zymo_R2.fastq.gz --bowtie2db ../../0_DBs/ --bowtie2out Simulated_Zymo_R1.bz2 --nproc 40 --input_type fastq --unclassified_estimation -o Simulated_Zymo_R1.txt
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
UNCLASSIFIED	-1	6.68275	
k__Bacteria	2	91.41472889112273	
k__Eukaryota	2759	1.9025241600310072	
k__Bacteria|p__Firmicutes	2|1239	67.36543569414343	
k__Bacteria|p__Proteobacteria	2|1224	24.04929319697931	
k__Eukaryota|p__Ascomycota	2759|4890	1.0986146884459278	
k__Eukaryota|p__Basidiomycota	2759|5204	0.8039094715850793	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	67.36543569414343	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	24.04929319697931	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes	2759|4890|4891	1.0986146884459278	
k__Eukaryota|p__Basidiomycota|c__Tremellomycetes	2759|5204|155616	0.8039094715850793	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	37.266786246045946	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales	2|1239|91061|1385	30.098649448097483	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	18.02857601082253	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	2|1224|1236|72274	6.020717186156778	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	2759|4890|4891|4892	1.0986146884459278	
k__Eukaryota|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	2759|5204|155616|5234	0.8039094715850793	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	2|1239|91061|186826|33958	21.768320917199347	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	18.02857601082253	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae	2|1239|91061|1385|90964	15.969185548412534	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	15.4984653288466	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae	2|1239|91061|1385|186820	14.01066170482553	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	2|1224|1236|72274|135621	6.020717186156778	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae	2759|4890|4891|4892|4893	1.0986146884459278	
k__Eukaryota|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae	2759|5204|155616|5234|1884633	0.8039094715850793	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillaceae	2|1239|91061|1385|186817	0.11879286313411871	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus	2|1239|91061|186826|33958|2742598	21.768320917199347	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus	2|1239|91061|1385|90964|1279	15.969185548412534	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus	2|1239|91061|186826|81852|1350	15.4984653288466	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria	2|1239|91061|1385|186820|1637	14.01066170482553	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	2|1224|1236|91347|543|561	9.043617618045243	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Salmonella	2|1224|1236|91347|543|590	8.984958392777287	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas	2|1224|1236|72274|135621|286	6.020717186156778	
k__Eukaryota|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Saccharomycetaceae|g__Saccharomyces	2759|4890|4891|4892|4893|4930	1.0986146884459278	
k__Eukaryota|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae|g__Cryptococcus	2759|5204|155616|5234|1884633|5206	0.8039094715850793	
