sample	coverage	taxonomy
marine_0_R1	0.49	Root; d__Archaea
marine_0_R1	3.26	Root; d__Bacteria
marine_0_R1	1.81	Root; d__Archaea; p__Thermoproteota
marine_0_R1	0.06	Root; d__Bacteria; p__Proteobacteria
marine_0_R1	0.23	Root; d__Bacteria; p__Campylobacterota
marine_0_R1	0.17	Root; d__Bacteria; p__Planctomycetota
marine_0_R1	0.11	Root; d__Bacteria; p__Firmicutes_A
marine_0_R1	0.23	Root; d__Bacteria; p__Desulfobacterota
marine_0_R1	0.23	Root; d__Bacteria; p__Bacteroidota
marine_0_R1	0.17	Root; d__Bacteria; p__Firmicutes_E
marine_0_R1	0.17	Root; d__Bacteria; p__Bdellovibrionota
marine_0_R1	0.11	Root; d__Bacteria; p__Aquificota
marine_0_R1	0.36	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia
marine_0_R1	0.05	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
marine_0_R1	0.11	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
marine_0_R1	0.48	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
marine_0_R1	4.71	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
marine_0_R1	1.59	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
marine_0_R1	0.57	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia
marine_0_R1	0.27	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia
marine_0_R1	1.76	Root; d__Bacteria; p__Firmicutes; c__Bacilli
marine_0_R1	0.23	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria
marine_0_R1	0.51	Root; d__Bacteria; p__Firmicutes_A; c__Clostridia
marine_0_R1	0.17	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
marine_0_R1	1.01	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales
marine_0_R1	0.21	Root; d__Archaea; p__Nanohaloarchaeota; c__Nanosalinia; o__Nanosalinales
marine_0_R1	0.1	Root; d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales
marine_0_R1	0.38	Root; d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales
marine_0_R1	0.05	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales
marine_0_R1	0.12	Root; d__Archaea; p__Methanobacteriota_A; c__Methanococci; o__Methanococcales
marine_0_R1	0.57	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales
marine_0_R1	1.88	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
marine_0_R1	3.99	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales
marine_0_R1	0.4	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrococcales
marine_0_R1	0.17	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrosococcales
marine_0_R1	0.17	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Chromatiales
marine_0_R1	0.4	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Methylococcales
marine_0_R1	0.06	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales
marine_0_R1	0.63	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
marine_0_R1	0.51	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales
marine_0_R1	0.11	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales
marine_0_R1	0.11	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Pelagibacterales
marine_0_R1	0.45	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Cyanobacteriales
marine_0_R1	1.13	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Actinomycetales
marine_0_R1	0.57	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia; o__Mycobacteriales
marine_0_R1	0.06	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Acidimicrobiales
marine_0_R1	0.45	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
marine_0_R1	0.17	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales
marine_0_R1	0.56	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria; o__Campylobacterales
marine_0_R1	0.11	Root; d__Bacteria; p__Firmicutes_A; c__Clostridia; o__Acetivibrionales
marine_0_R1	0.06	Root; d__Bacteria; p__Deinococcota; c__Deinococci; o__Deinococcales
marine_0_R1	0.23	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria; o__Desulfobacterales
marine_0_R1	0.23	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
marine_0_R1	0.06	Root; d__Bacteria; p__Bacteroidota; c__Rhodothermia; o__Rhodothermales
marine_0_R1	0.17	Root; d__Bacteria; p__Thermotogota; c__Thermotogae; o__Thermotogales
marine_0_R1	2.39	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales; f__Pyrodictiaceae
marine_0_R1	0.16	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales; f__Desulfurococcaceae
marine_0_R1	0.16	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales; f__Acidilobaceae
marine_0_R1	0.16	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrosopumilaceae
marine_0_R1	0.05	Root; d__Archaea; p__Nanohaloarchaeota; c__Nanosalinia; o__Nanosalinales; f__Nanosalinaceae
marine_0_R1	0.05	Root; d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanoculleaceae
marine_0_R1	0.21	Root; d__Archaea; p__Halobacteriota; c__Archaeoglobi; o__Archaeoglobales; f__Archaeoglobaceae
marine_0_R1	0.36	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia; o__Methanosarcinales; f__Methanosarcinaceae
