sample	coverage	taxonomy
marine_0_R1	1.75	Root; d__Archaea
marine_0_R1	4.29	Root; d__Bacteria
marine_0_R1	2.88	Root; d__Archaea; p__Thermoproteota
marine_0_R1	0.63	Root; d__Archaea; p__Methanobacteriota
marine_0_R1	0.07	Root; d__Archaea; p__Halobacteriota
marine_0_R1	0.11	Root; d__Archaea; p__Thermoplasmatota
marine_0_R1	1.07	Root; d__Bacteria; p__Proteobacteria
marine_0_R1	0.19	Root; d__Bacteria; p__Actinobacteriota
marine_0_R1	0.06	Root; d__Bacteria; p__Firmicutes
marine_0_R1	0.28	Root; d__Bacteria; p__Bacteroidota
marine_0_R1	0.23	Root; d__Bacteria; p__Campylobacterota
marine_0_R1	0.27	Root; d__Bacteria; p__Firmicutes_A
marine_0_R1	0.06	Root; d__Bacteria; p__Cyanobacteria
marine_0_R1	0.34	Root; d__Bacteria; p__Desulfobacterota
marine_0_R1	0.23	Root; d__Bacteria; p__Planctomycetota
marine_0_R1	0.11	Root; d__Bacteria; p__Aquificota
marine_0_R1	0.11	Root; d__Bacteria; p__Firmicutes_E
marine_0_R1	0.11	Root; d__Bacteria; p__Bdellovibrionota
marine_0_R1	1.59	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia
marine_0_R1	0.53	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
marine_0_R1	0.17	Root; d__Archaea; p__Halobacteriota; c__Methanosarcinia
marine_0_R1	0.42	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
marine_0_R1	0.67	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
marine_0_R1	0.05	Root; d__Archaea; p__Iainarchaeota; c__Iainarchaeia
marine_0_R1	0.05	Root; d__Archaea; p__Micrarchaeota; c__Micrarchaeia
marine_0_R1	10.41	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
marine_0_R1	3.58	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
marine_0_R1	1.81	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia
marine_0_R1	0.06	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia
marine_0_R1	2.85	Root; d__Bacteria; p__Firmicutes; c__Bacilli
marine_0_R1	0.62	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
marine_0_R1	0.28	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria
marine_0_R1	0.46	Root; d__Bacteria; p__Firmicutes_A; c__Clostridia
marine_0_R1	0.57	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia
marine_0_R1	1.17	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales
marine_0_R1	0.05	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Thermoproteales
marine_0_R1	0.11	Root; d__Archaea; p__Methanobacteriota; c__Methanococci; o__Methanococcales
marine_0_R1	0.53	Root; d__Archaea; p__Halobacteriota; c__Methanomicrobia; o__Methanomicrobiales
marine_0_R1	0.59	Root; d__Archaea; p__Halobacteriota; c__Halobacteria; o__Halobacteriales
marine_0_R1	0.05	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Aciduliprofundales
marine_0_R1	0.05	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales
