sample	coverage	taxonomy
strain_madness_0_R1	0.53	Root; d__Archaea
strain_madness_0_R1	0.11	Root; d__Archaea; p__Thermoproteota
strain_madness_0_R1	2.22	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
strain_madness_0_R1	0.58	Root; d__Bacteria; p__Firmicutes; c__Bacilli
strain_madness_0_R1	3.19	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales
strain_madness_0_R1	0.06	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales
strain_madness_0_R1	0.45	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
strain_madness_0_R1	2.44	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales
strain_madness_0_R1	0.23	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales
strain_madness_0_R1	33.71	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
strain_madness_0_R1	0.45	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
strain_madness_0_R1	0.23	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Tannerellaceae
strain_madness_0_R1	1.99	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
strain_madness_0_R1	1.02	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae
strain_madness_0_R1	0.28	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
strain_madness_0_R1	0.17	Root; d__Bacteria; p__Firmicutes; c__Bacilli; o__Staphylococcales; f__Staphylococcaceae
strain_madness_0_R1	0.07	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Pseudocitrobacter
