sample	coverage	taxonomy
Novel_genomes_no_reference-R1	1.88	Root; d__Archaea
Novel_genomes_no_reference-R1	11.12	Root; d__Bacteria
Novel_genomes_no_reference-R1	1.22	Root; d__Archaea; p__Thermoproteota
Novel_genomes_no_reference-R1	0.21	Root; d__Archaea; p__Halobacteriota
Novel_genomes_no_reference-R1	0.22	Root; d__Archaea; p__Thermoplasmatota
Novel_genomes_no_reference-R1	0.27	Root; d__Bacteria; p__Proteobacteria
Novel_genomes_no_reference-R1	1.73	Root; d__Bacteria; p__Actinobacteriota
Novel_genomes_no_reference-R1	0.24	Root; d__Bacteria; p__Firmicutes_D
Novel_genomes_no_reference-R1	2.3	Root; d__Bacteria; p__Desulfobacterota
Novel_genomes_no_reference-R1	0.58	Root; d__Bacteria; p__Bacteroidota
Novel_genomes_no_reference-R1	0.55	Root; d__Bacteria; p__Myxococcota
Novel_genomes_no_reference-R1	0.4	Root; d__Bacteria; p__Cyanobacteria
Novel_genomes_no_reference-R1	1.2	Root; d__Bacteria; p__Acidobacteriota
Novel_genomes_no_reference-R1	0.11	Root; d__Bacteria; p__Firmicutes_A
Novel_genomes_no_reference-R1	1.94	Root; d__Bacteria; p__Patescibacteria
Novel_genomes_no_reference-R1	0.83	Root; d__Bacteria; p__Firmicutes_B
Novel_genomes_no_reference-R1	0.65	Root; d__Bacteria; p__Planctomycetota
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Firmicutes_C
Novel_genomes_no_reference-R1	0.28	Root; d__Bacteria; p__Nitrospirota
Novel_genomes_no_reference-R1	0.17	Root; d__Bacteria; p__Spirochaetota
Novel_genomes_no_reference-R1	0.17	Root; d__Bacteria; p__Chloroflexota
Novel_genomes_no_reference-R1	0.17	Root; d__Bacteria; p__Verrucomicrobiota
Novel_genomes_no_reference-R1	0.05	Root; d__Bacteria; p__Bdellovibrionota
Novel_genomes_no_reference-R1	0.09	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
Novel_genomes_no_reference-R1	0.11	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia
Novel_genomes_no_reference-R1	0.27	Root; d__Archaea; p__Thermoproteota; c__Bathyarchaeia
Novel_genomes_no_reference-R1	0.16	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
Novel_genomes_no_reference-R1	0.43	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
Novel_genomes_no_reference-R1	7.41	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
Novel_genomes_no_reference-R1	5.72	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
Novel_genomes_no_reference-R1	2.36	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia
Novel_genomes_no_reference-R1	0.06	Root; d__Bacteria; p__Actinobacteriota; c__Coriobacteriia
Novel_genomes_no_reference-R1	0.13	Root; d__Bacteria; p__Actinobacteriota; c__Thermoleophilia
Novel_genomes_no_reference-R1	0.43	Root; d__Bacteria; p__Firmicutes_D; c__Dethiobacteria
Novel_genomes_no_reference-R1	0.12	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
