sample	coverage	taxonomy
Novel_genomes_placement_ani-R1	1.61	Root; d__Archaea
Novel_genomes_placement_ani-R1	10.2	Root; d__Bacteria
Novel_genomes_placement_ani-R1	0.37	Root; d__Archaea; p__Thermoproteota
Novel_genomes_placement_ani-R1	0.21	Root; d__Archaea; p__Thermoplasmatota
Novel_genomes_placement_ani-R1	0.39	Root; d__Bacteria; p__Actinobacteriota
Novel_genomes_placement_ani-R1	2.01	Root; d__Bacteria; p__Desulfobacterota
Novel_genomes_placement_ani-R1	0.17	Root; d__Bacteria; p__Cyanobacteria
Novel_genomes_placement_ani-R1	0.11	Root; d__Bacteria; p__Myxococcota
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Bacteroidota
Novel_genomes_placement_ani-R1	0.26	Root; d__Bacteria; p__Proteobacteria
Novel_genomes_placement_ani-R1	0.57	Root; d__Bacteria; p__Firmicutes_A
Novel_genomes_placement_ani-R1	0.91	Root; d__Bacteria; p__Patescibacteria
Novel_genomes_placement_ani-R1	0.8	Root; d__Bacteria; p__Acidobacteriota
Novel_genomes_placement_ani-R1	0.32	Root; d__Bacteria; p__Firmicutes_B
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Chloroflexota
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Verrucomicrobiota
Novel_genomes_placement_ani-R1	0.1	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia
Novel_genomes_placement_ani-R1	0.05	Root; d__Archaea; p__Aenigmatarchaeota; c__Aenigmatarchaeia
Novel_genomes_placement_ani-R1	0.37	Root; d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia
Novel_genomes_placement_ani-R1	0.46	Root; d__Bacteria; p__Actinobacteriota; c__Actinomycetia
Novel_genomes_placement_ani-R1	0.11	Root; d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia
Novel_genomes_placement_ani-R1	0.23	Root; d__Bacteria; p__Actinobacteriota; c__Coriobacteriia
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Desulfobacteria
Novel_genomes_placement_ani-R1	0.32	Root; d__Bacteria; p__Firmicutes_D; c__Dethiobacteria
Novel_genomes_placement_ani-R1	2.01	Root; d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Caldisericota; c__Caldisericia
Novel_genomes_placement_ani-R1	0.75	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
Novel_genomes_placement_ani-R1	3.97	Root; d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
Novel_genomes_placement_ani-R1	2.95	Root; d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria
Novel_genomes_placement_ani-R1	0.29	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia
Novel_genomes_placement_ani-R1	0.11	Root; d__Bacteria; p__Firmicutes_C; c__Negativicutes
Novel_genomes_placement_ani-R1	0.17	Root; d__Bacteria; p__Desulfobacterota_B; c__Binatia
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Campylobacterota; c__Campylobacteria
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Firmicutes_A; c__Thermosediminibacteria
Novel_genomes_placement_ani-R1	0.23	Root; d__Bacteria; p__Firmicutes_A; c__Clostridia
Novel_genomes_placement_ani-R1	0.91	Root; d__Bacteria; p__Firmicutes; c__Bacilli
Novel_genomes_placement_ani-R1	0.17	Root; d__Bacteria; p__Patescibacteria; c__Gracilibacteria
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Patescibacteria; c__Paceibacteria
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
Novel_genomes_placement_ani-R1	0.57	Root; d__Bacteria; p__Firmicutes_B; c__Moorellia
Novel_genomes_placement_ani-R1	0.06	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
Novel_genomes_placement_ani-R1	0.05	Root; d__Archaea; p__Thermoproteota; c__Thermoproteia; o__Sulfolobales
