name	mean	rank
Archaea	2197052.338469185	domain
Bacteria	3951531.420984943	domain
4484-113	3705459	phylum
4572-55	4132790	phylum
AABM5-125-24	3533157.086956522	phylum
Abyssubacteria	5072042	phylum
Acidobacteriota	4660550.299500832	phylum
Actinobacteriota	4366493.6511308355	phylum
Aenigmatarchaeota	897726.9761904762	phylum
Aerophobota	1750196.7142857143	phylum
Altiarchaeota	1510593.6	phylum
Aquificota	1572112.0322580645	phylum
Armatimonadota	4063738.2117117117	phylum
Asgardarchaeota	3587243.3777777776	phylum
Atribacterota	1979677.35	phylum
Aureabacteria	3600408.5	phylum
B130-G9	2729668.5	phylum
B1Sed10-29	933870.8	phylum
Bacteroidota	3558231.9871180844	phylum
Bdellovibrionota	3532382.8444444444	phylum
Bdellovibrionota_C	3169202.15	phylum
Bdellovibrionota_E	1868390.4285714286	phylum
Bipolaricaulota	1842447.5961538462	phylum
BMS3Abin14	2150245.75	phylum
CAIJMQ01	1427878.857142857	phylum
Caldisericota	1726076.125	phylum
Calditrichota	4139254.32	phylum
Calescibacterota	2034154	phylum
Campylobacterota	1743668.2792792793	phylum
CG03	1891784.2	phylum
CG2-30-53-67	2591031.285714286	phylum
CG2-30-70-394	2671572.8	phylum
Chlamydiota	1356851.4240282685	phylum
Chloroflexota	3483828.8600121727	phylum
Chrysiogenota	2750181.3333333335	phylum
CLD3	3745715.5	phylum
Cloacimonadota	2186882.345679012	phylum
Coprothermobacterota	1298645.6	phylum
CSP1-3	2633732.4	phylum
CSSED10-310	4790606.333333333	phylum
Cyanobacteria	4146182.049015317	phylum
Deferribacterota	2600905.217391304	phylum
Deinococcota	3206824.6	phylum
Delongbacteria	2909183.947368421	phylum
Dependentiae	1163052.7142857143	phylum
Desantisbacteria	2235749.75	phylum
Desulfobacterota	3568208.123233909	phylum
Desulfobacterota_B	4537860.471428571	phylum
Desulfobacterota_C	3034442.3076923075	phylum
Desulfobacterota_D	1608024.6578947369	phylum
Desulfobacterota_E	2397684.5454545454	phylum
Desulfobacterota_G	3118697.418604651	phylum
Desulfobacterota_I	3266262.4210526315	phylum
Dictyoglomota	1888170.5	phylum
Dormibacterota	2994200.1297709923	phylum
DRYD01	1895244.3333333333	phylum
DTU030	1890836.3846153845	phylum
DUMJ01	2046577.2	phylum
Edwardsbacteria	2558940.15	phylum
Eisenbacteria	3612706.6285714284	phylum
Elusimicrobiota	2227623.3759398498	phylum
Eremiobacterota	3235451.076923077	phylum
EX4484-52	1196562.142857143	phylum
FCPU426	3192211.2	phylum
FEN-1099	4952116.5	phylum
Fermentibacterota	2649133.1904761903	phylum
Fibrobacterota	3482018.792746114	phylum
Firestonebacteria	2134279.1153846155	phylum
Firmicutes	2809509.5770197487	phylum
Firmicutes_A	2977526.9998449534	phylum
Firmicutes_B	2967155.8930232557	phylum
Firmicutes_C	2326114.8697214737	phylum
Firmicutes_D	2175221.9375	phylum
Firmicutes_E	2625921.736842105	phylum
Firmicutes_F	2821589.7	phylum
Firmicutes_G	2499652.7027027025	phylum
Firmicutes_H	2141727.285714286	phylum
Fusobacteriota	2311608.3601036267	phylum
GCA-001730085	1907665	phylum
Gemmatimonadota	3567014.6166219837	phylum
Gemmatimonadota_A	4278577	phylum
Goldbacteria	2549675.777777778	phylum
Hadarchaeota	1122821.4	phylum
Halobacteriota	3003060.8254091972	phylum
HKB111	1599006.75	phylum
Hydrogenedentota	4663872.590909091	phylum
Hydrothermarchaeota	1579643.2	phylum
Iainarchaeota	1142378.6923076923	phylum
J088	2829385	phylum
JAAXHH01	3774929.6428571427	phylum
JABDJQ01	3728916	phylum
JABMQX01	4268008	phylum
JACIXR01	2621700.5	phylum
JACPQY01	4716505	phylum
JACPSX01	2904462	phylum
JACPUC01	4458375	phylum
JACPWU01	2391547.25	phylum
JACQOV01	1897336	phylum
JACRDZ01	3075986	phylum
JADJOY01	8187698	phylum
JAFGBW01	3137840	phylum
JAFGND01	2991973	phylum
JAGOBX01	3827240	phylum
JAGOEH01	3575955	phylum
JAHJDO01	2677670	phylum
JdFR-76	3282303.6	phylum
Krumholzibacteriota	3687962.826923077	phylum
KSB1	5040267.666666667	phylum
Latescibacterota	5316594.46875	phylum
Lindowbacteria	4164089.5	phylum
Margulisbacteria	1909166.1948051949	phylum
Marinisomatota	2246942.7846153844	phylum
