rank	genome_size
Aenigmatarchaeum subterraneum	428886
CS1-C013 sp011773475	1009083
JAADFI01 sp013152905	547088
CG10238-14 sp002789635	863044.8888888889
RBG-16-49-10 sp001784635	916337
EX4484-224 sp002254545	485206
SpSt-28 sp011047985	791057
SpSt-9 sp011333035	594681
JABABT01 sp014238095	516096
SCSR01 sp004297575	736572
SpSt-734 sp011363135	434362
SpSt-742 sp011335085	395420
SpSt-971 sp011334385	462456
QMZP01 sp003663225	941786
QMZY01 sp003663415	992415
CS3-C152 sp011772645	930546.3333333334
JAADIF01 sp013151465	931966
QMZT01 sp003663325	719066.5
QMZZ01 sp003663445	574541
GCA-2688965 sp002688965	1897616
CAIKBN01 sp903825675	817296
GW2011-AR5 sp000806115	858244
GW2011-AR5 sp10154u	898948
SpSt-1120 sp011373045	557628
Altarchaeum hamiconexum	1359331.3333333333
Altarchaeum sp002083985	1446933
Altarchaeum sp002841105	2012983
IMC4 sp001742785	1390915
CAIYYO01 sp903930485	1690272
EX4484-2 sp002254405	919319
EX4484-2 sp002254565	1395301
QMZG01 sp003663045	980328.5
QMZJ01 sp003663115	1148500.5
QMZM01 sp003663175	1029739.3333333334
CABMCB01 sp902384455	2411449
DSAL01 sp011380095	1019182
SCGC-AAA252-I15 sp000402775	1325681
WOR-SM1-SCG sp001723835	3188023
WOR-SM1-SCG sp001723855	2087968
WOR-SM1-SCG-A sp001723845	2549736
DTBI01 sp011362025	2255410
DTBI01 sp011364305	1883056
JABLTI01 sp013166835	3557936
GCA-2728275 sp002728275	1281286.6666666667
LC-2 sp001940725	4843591
B3-JM-08 sp003144275	3948260
B3-JM-08 sp011364965	2973942
LC-3 sp001940645	5684038
UBA460 sp001940755	2278690
UBA460 sp002505645	2834249
UBA460 sp013166775	3847693
AMARA-1 sp004524545	2547497
Prometheoarchaeum syntrophicum	4427796
CR-4 sp001940655	4334170
SDNM01 sp004524385	1836571
SDNM01 sp004524425	2969355
SDNM01 sp004524515	3111768
SDNM01 sp004524535	3664620
SOKP01 sp004375715	3073626
SOKP01 sp004524725	2406751
SOKP01 sp005222975	3518981
SOKP01 sp005223125	3400947
SOKP01 sp011364925	3919328
SOKP01 sp011364975	3743160
SOKP01 sp013375475	3920170
SOKP01 sp013375485	4597616
SOKP01 sp013375495	4243572
TEKIR-8 sp004524365	1894998
TEKIR-8 sp008080735	4145068
TEKIR-8 sp008080765	3921599
HEL-GB-A sp005191415	3840020
HEL-GB-A sp013375405	4652685
HEL-GB-A sp013375455	5309269
HEL-GB-B sp005191425	3543077
JABXJV01 sp013375355	4592678
RDOG01 sp011365055	4677395
LCB-4 sp001940665	1460710
B65-G9 sp003662765	2673780.5
JACAEL01 sp013388835	3013036
MP8T-1 sp002825465	3511750
MP8T-1 sp002825535	4389059
MP8T-1 sp003345545	2688080
MP8T-1 sp004524565	3132667
MP8T-1 sp004524595	4171935
OWC5 sp003345555	2277301
OWC5 sp003345595	2732298
SHMX01 sp008080745	3161981
SMTZ1-45 sp001563335	3544182
SMTZ1-45 sp001940705	2855654
SMTZ1-45 sp002825515	3487971
SMTZ1-45 sp004376265	3037225
SMTZ1-45 sp011364905	3079563
SMTZ1-83 sp001563325	3263991
SMTZ1-83 sp011364985	1699248
SMTZ1-83 sp011365025	3465978
