rank	genome_size
CS1-C013 sp011773475	1009083
JAADFI01 sp013152905	547088
QMZY01 sp003663415	992415
CAIKBN01 sp903825675	895151
GW2011-AR5 sp10154u	898948
Altarchaeum hamiconexum	1403340.25
CAIYYO01 sp903930485	1690272
EX4484-2 sp002254565	1395301
QMZG01 sp003663045	1171794
QMZM01 sp003663175	1218797
CABMCB01 sp902384455	2411449
DSAL01 sp011380095	1019182
DTBI01 sp011362025	2255410
JABLTI01 sp013166835	3557936
GCA-2728275 sp002728275	1368212
B3-JM-08 sp003144275	3948260
B3-JM-08 sp011364965	2973942
LC-3 sp001940645	5684038
UBA460 sp013166775	3847693
AMARA-1 sp004524545	2547497
Prometheoarchaeum syntrophicum	4427796
CR-4 sp001940655	4334170
SDNM01 sp004524535	3664620
SOKP01 sp005223125	3400947
SOKP01 sp011364925	3919328
SOKP01 sp011364975	3743160
SOKP01 sp013375475	3920170
SOKP01 sp013375485	4597616
TEKIR-8 sp008080735	4145068
HEL-GB-A sp005191415	3840020
HEL-GB-A sp013375405	4652685
HEL-GB-A sp013375455	5309269
HEL-GB-B sp005191425	3543077
JABXJV01 sp013375355	4592678
RDOG01 sp011365055	4677395
LCB-4 sp001940665	1460710
B65-G9 sp003662765	2673780.5
JACAEL01 sp013388835	3013036
MP8T-1 sp002825465	3511750
MP8T-1 sp002825535	4389059
MP8T-1 sp003345545	2688080
MP8T-1 sp004524565	3132667
MP8T-1 sp004524595	4171935
OWC5 sp003345555	2277301
OWC5 sp003345595	2732298
SHMX01 sp008080745	3161981
SMTZ1-45 sp001563335	3544182
SMTZ1-45 sp001940705	2855654
SMTZ1-45 sp002825515	3487971
SMTZ1-45 sp004376265	3037225
SMTZ1-45 sp011364905	3079563
SMTZ1-83 sp001563325	3263991
SMTZ1-83 sp011364985	1699248
SMTZ1-83 sp011365025	3465978
TEKIR-12S sp004524435	2770204
TEKIR-14 sp004524445	2792701
GLR71 sp013138765	1262712
GLR71 sp013138805	1333838
LFW-46 sp902384675	1197762
B88-G9 sp003660555	1295439
DSZJ01 sp011361855	1007016
DTKF01 sp011367225	1017128.5
B75-G9 sp012962055	745249
DG-33 sp004375695	1294504
Hadarchaeum sp014361095	1196065
Hadarchaeum yellowstonense	1207121.5
WYZ-LMO6 sp004347925	1241441
Archaeoglobus fulgidus	2117380.4
Archaeoglobus fulgidus_A	1538442.3333333333
Archaeoglobus sp002507545	2263166.2
Archaeoglobus_A sp002010195	2158951.5
Archaeoglobus_A sp002011215	2701738
Archaeoglobus_A sp002011235	2360045
Archaeoglobus_A sp002494625	1946844.6666666667
Archaeoglobus_A sulfaticallidus	2076931
Archaeoglobus_B profundus	1563423
Archaeoglobus_C veneficus	1901943
B5-G16 sp003662995	2609224
Ferroglobus placidus	2196266
Geoglobus acetivorans	1860815
Geoglobus ahangari	1561065.5
Geoglobus ahangari_A	1326691.3333333333
Geoglobus sp002494725	1855421
JdFR-22 sp002010045	2062531
JdFR-37 sp002010215	1972400
JdFR-41 sp002010285	1752477
WYZ-LMO2 fulgidus_A	1404184
WYZ-LMO2 fulgidus_B	1442246
WYZ-LMO2 sp004347825	1562415
WYZ-LMO2 sp004347865	1500696
WYZ-LMO2 sp011361745	1403570.5
WYZ-LMO2 sp011605865	1269726
JdFR-42 sp002010305	2138570.5
JdFR-21 sp002011165	1513093
JdFR-21 sp014361165	1166237
Bog-38 sp003139855	1686591.4
Bog-38 sp003158275	1723732
Bog-38 sp003162175	1672728.5217391304
Bog-38 sp003170935	1794462
Haladaptatus cibarius	3926724
Haladaptatus litoreus	4671707
Haladaptatus paucihalophilus	4519653
Haladaptatus sp001625445	4896694
Haladaptatus sp003298465	5605381
Halorussus amylolyticus	3779259
Halorussus litoreus	3838315
Halorussus rarus	4372177
Halorussus ruber	4318307
Halorussus salinus	4753237
Halorussus sp004087835	3490924
Halorussus sp004765795	3691690.5
Halorussus sp004765805	3933954
Halorussus sp005239435	5154608
Halorussus sp008831545	4450731
Halorussus sp010747475	4408556
Halalkalicoccus jeotgali	3650090
Halalkalicoccus paucihalophilus	3980410
Halalkalicoccus subterraneus	3610033
SKXI01 sp007129135	2630443
CBA1134 sp001950595	2667867.3333333335
CBA1134 sp003021175	2605664
CBA1134 sp003021785	2128333
CBA1134 sp003023185	2017518
CBA1134 sp009184545	2505918.3333333335
Halapricum salinum	3451774
Halapricum sp009741825	2965017
Haloarcula amylolytica	4225424
Haloarcula argentinensis	3960917
Haloarcula hispanica	4010117.7
Haloarcula japonica	4280359
Haloarcula marismortui	4310143.5
Haloarcula rubripromontorii	3949989.5
Haloarcula salina	3788104
Haloarcula sebkhae	4091744
Haloarcula sp001485575	4359264
Haloarcula sp005406125	4217270
Haloarcula sp008729015	4023774.5
Haloarcula taiwanensis	4147682
Haloarcula vallismortis	3909921
Halomarina oriensis	4069707
Halomarina oriensis_A	3654689
Halomarina sp003021975	2606427
Halomicroarcula limicola	3906684
Halomicroarcula pellucida	4446121.5
Halomicroarcula sp003020925	2198794
Halomicroarcula sp004681185	5038561
Halomicrobium katesii	3607771
Halomicrobium mukohataei	3264819
Halomicrobium sp003021685	2640161
Halomicrobium sp009617995	3362437.5
Halomicrobium zhouii	4250330
Halorhabdus rudnickae	3362504
Halorhabdus sp004944975	3464929
Halorhabdus sp009690625	2623025.5
Halorhabdus sp013839425	2859811
Halorhabdus tiamatea	3146362
Halorhabdus utahensis	3116795
Halorientalis persicus	4869758
Halorientalis regularis	4032197
Halorientalis sp001989615	3778989
Halorientalis sp004118325	4087668
Halorientalis sp005049285	3661127
Halosimplex carlsbadense	4694889
Halosimplex pelagicum	5199031
Halosimplex rubrum	4480147
Halosimplex sp003730195	5072893
Halosimplex sp004698125	4467366
Halovenus aranensis	3287116
Halovenus sp000416085	2982938
Halovenus sp003021015	2891236
Halovenus sp003022725	2631222
Halovenus sp003551265	2911837
Halovenus sp003551945	2427444
Halovenus sp004015825	3757505
Halovenus sp009831575	3245916
HARCEL1 sp003058365	2723120
Natronomonas gomsonensis	3377131
Natronomonas moolapensis	2912573
Natronomonas pharaonis	2749696
Natronomonas salsuginis	2904418
Natronomonas sp003020965	2951928
Natronomonas sp003021005	2449050
Natronomonas sp003022945	2633186
Natronomonas sp007122455	2933305
Natronomonas sp007135435	3110843
Natronomonas sp009741925	3452035
Natronomonas sp013391085	3211682
Natronomonas sp013391105	3746575
Natronomonas sp013839515	2779522
QH-10-67-22 sp003021305	2518045
QS-4-69-31 sp003021655	2736007
QS-4-70-19 sp003020985	2838640
QS-4-70-19 sp007421925	4004362
QS-5-68-33 sp003023785	2419052
QS-5-70-15 sp003022005	3211570
Salinibaculum litoreum	3732358
Salinirussus salinus	3369022
Halanaeroarchaeum sulfurireducens	2231619
Halarchaeum acidiphilum	2530366.5
Halarchaeum grantii	3115317.5
Halarchaeum nitratireducens	3141185
Halarchaeum rubridurum	2813544
Halobacterium hubeiense	3222428.375
Halobacterium jilantaiense	2952792
Halobacterium salinarum	2480667.8
Halobacterium sp000230955	3162560
Halobacterium sp001485535	3012807
Halobacterium sp009741975	2730868
Halobacterium sp009831555	3499479
Halobacterium sp011734195	2983094
Halocalculus aciditolerans	3380345
Halodesulfurarchaeum formicicum	2029114.5
Salarchaeum sp007833275	2523371
Halococcus agarilyticus	3476728
Halococcus hamelinensis	3401376.5
Halococcus morrhuae	2991556
Halococcus saccharolyticus	3449700
Halococcus salifodinae	4199784
Halococcus salsus	3697668.5
Halococcus sediminicola	3764367
Halococcus sp003021045	2573307
Halococcus sp003021235	3604584
Halococcus sp003021705	2832741
Halococcus sp003021725	3053165
Halococcus sp003022685	2246105.5
Halococcus sp003022925	3278370
Halococcus thailandensis	4052434
A07HB70 sp000496195	2389822
Halalkaliarchaeum desulfuricum	3313120
Halegenticoccus soli	4615401
Halegenticoccus sp004116405	4892524
Halobaculum gomorrense	3208246
Halobaculum sp003020945	2647290
Halobaculum sp009831625	3775766
Halobaculum sp013401515	4277959
Halobaculum sp013402875	4258755
Halobaculum tyrrellense	3675087
Halobellus captivus	3351536
Halobellus clavatus	3754978
Halobellus limi	3742927
Halobellus rufus	3852219
Halobellus salinus	3067519
Halobellus sp003665925	3871390
Halobellus sp003665935	3548073
Halobellus sp014212355	3490400
Haloferax denitrificans	3825973
Haloferax elongans	3952136
Haloferax gibbonsii	4129550.75
Haloferax larsenii	3796012.5
Haloferax massiliensis	4106316
Haloferax mediterranei	3903354.75
Haloferax mucosum	3368982
Haloferax prahovense	4022329.4
Haloferax sp001469865	3830759
Haloferax sp001469875	3958530.5
Haloferax sp001482285	3977555
Haloferax sp009674585	3487106
Haloferax sp009674605	3561692
Haloferax sp009674625	3480702
Haloferax sulfurifontis	3845656
Haloferax volcanii	3747786.411764706
Halogeometricum borinquense	3737525.4
Halogeometricum limi	3616269
Halogeometricum pallidum	4384515
Halogeometricum rufum	4141393.5
Halogranum amylolyticum	5185690
Halogranum gelatinilyticum	3770187
Halogranum rubrum	4529491
Halohasta litchfieldiae	3284590
Halohasta sp001563795	2181548.5
Halolamina pelagica	3161068
Halolamina pelagica_B	2972542
Halolamina rubra	2955001
Halolamina sediminis	2835858
Halolamina sp000224475	3643158
Halolamina sp002025255	3465332
Halonotius pteroides	3009688
Halonotius roseus	2564341
Halonotius sp000496215	2460843
Halonotius sp003605575	2468392
Halonotius terrestris	2841436
Haloparvum sedimenti	3243052
Halopelagius inordinatus	3529311
Halopelagius longus	3875373.5
Halopenitus malekzadehii	3136824
Halopenitus persicus	3065335.3333333335
Halopenitus persicus_A	3105937
Haloplanus aerogenes	3505199.5
Haloplanus natans	3797935
Haloplanus rallus	3560302
Haloplanus rubicundus	3651483.5
Haloplanus salinus	3549098
Haloplanus vescus	2776859
Haloprofundus halophilus	3262521
Haloprofundus marisrubri	3929557
Haloquadratum walsbyi	3135767
Haloquadratum walsbyi_A	3475501
Haloquadratum walsbyi_B	3594539
Halorubrum aethiopicum	3325770
Halorubrum aidingense	3108525
Halorubrum amylolyticum	3630756
Halorubrum aquaticum	3184102
Halorubrum californiense	3581087
Halorubrum cibi	3176020
Halorubrum coriense	3645313
Halorubrum depositum	3182860
Halorubrum distributum	3299665
Halorubrum ezzemoulense	3559766.375
Halorubrum halodurans	3320122
Halorubrum halophilum	3480178.5
Halorubrum hochstenium	3037532
Halorubrum kocurii	3619738
Halorubrum lacusprofundi	3534959
Halorubrum lipolyticum	3425042
Halorubrum persicum	3578349
Halorubrum saccharovorum	3423703
Halorubrum salsamenti	3674958
Halorubrum sodomense	3362628
Halorubrum sp000296615	3168011
Halorubrum sp000496175	2890468
Halorubrum sp000746205	2767463
Halorubrum sp001261915	3248714
Halorubrum sp002252755	3776731.5
Halorubrum sp002286985	3506649
Halorubrum sp003023405	2438325
Halorubrum sp003287355	3584929
